Day of Fecha Defuncion,Fecha Defuncion,Nombre Ambito,Nombre Gedad,Nombre Sexo,Ambito,Cod Ambito,Cod Gedad,Cod Ine Ambito,Cod Sexo,Defunciones Esperadas,Defunciones Esperadas Q01,Defunciones Esperadas Q99,Defunciones Observadas,Defunciones Observadas Lim Inf,Defunciones Observadas Lim Sup,Number of Records
"May 5, 2020",5/5/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,29.69,56.24,43,43,43,1
"May 6, 2020",5/6/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,29.69,56.24,45,45,45,1
"May 7, 2020",5/7/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,28.14,56.24,31,31,31,1
"May 8, 2020",5/8/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,25.38,58.31,39,39,39,1
"May 9, 2020",5/9/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,25.38,58.31,47,47,471269495999338,1
"May 10, 2020",5/10/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40.5,25.38,58.31,42,42,421567547453327,1
"May 11, 2020",5/11/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,25.38,56.62,44,44,44160700304751,1
"May 12, 2020",5/12/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,39.5,25.38,56.62,42,42,421192340439052,1
"May 13, 2020",5/13/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,25.38,56.62,47,47,481931567974426,1
"May 14, 2020",5/14/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,28.07,56.62,38,38,381683281539432,1
"May 15, 2020",5/15/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,31.07,51.31,40,40,411874058173128,1
"May 16, 2020",5/16/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,31.07,52.31,41,41,422026992617607,1
"May 17, 2020",5/17/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40.5,31.07,53.93,33,33,341878038341001,1
"May 18, 2020",5/18/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,31.07,56.62,39,39,402066622233847,1
"May 19, 2020",5/19/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,30.45,56.62,36,36,361575562650102,1
"May 20, 2020",5/20/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.38,56.62,41,41,422306519807748,1
"May 21, 2020",5/21/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.38,56.62,36,36,371942492956243,1
"May 22, 2020",5/22/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.38,56.62,47,47,481965543035575,1
"May 23, 2020",5/23/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.38,56.62,54,53,542420443973696,1
"May 24, 2020",5/24/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,27.69,55.93,29,29,302133340285975,1
"May 25, 2020",5/25/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,27.69,52.93,34,338082078008116,343207568473506,1
"May 26, 2020",5/26/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.69,52.93,35,34,352774481226175,1
"May 27, 2020",5/27/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,28.69,53.62,50,497124428112998,504352720332433,1
"May 28, 2020",5/28/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,28.69,53.62,45,446888160654545,454634938195963,1
"May 29, 2020",5/29/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,28.69,53.62,39,384169786113708,397806845345434,1
"May 30, 2020",5/30/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,28.69,53.62,35,343213657746958,368988223998571,1
"May 31, 2020",5/31/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,27.45,53,41,404088030268132,418016455236436,1
"June 1, 2020",6/1/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40.5,26.76,53,39,380873477667752,401653289484884,1
"June 2, 2020",6/2/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,26.76,53,45,436795602073811,476031207669154,1
"June 3, 2020",6/3/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,41,26.76,52.31,39,358366143585801,415096998745195,1
"June 4, 2020",6/4/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,26.76,52.31,52,466764260524495,567527856758972,1
"June 5, 2020",6/5/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,40,26.76,52.31,42,303239960039912,549422742803268,1
"February 26, 2020",2/26/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,52,36.07,65.62,40,40,40,1
"February 27, 2020",2/27/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,52,36.07,67.93,51,51,51,1
"February 28, 2020",2/28/2020,Canarias,Todos ,Todos,ccaa,CN,all,5,all,51,34.69,67.93,64,64,64,1
