Día de Fecha Defuncion;Fecha Defuncion;Nombre Ambito;Nombre Gedad;Nombre Sexo;Ambito;Cod Ambito;Cod Gedad;Cod Ine Ambito;Cod Sexo;Defunciones Esperadas;Defunciones Esperadas Q01;Defunciones Esperadas Q99;Defunciones Observadas;Defunciones Observadas Lim Inf;Defunciones Observadas Lim Sup;Número de registros
13 de octubre de 2019;13/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1011,5;924,88;1116,37;919;919;919;1
14 de octubre de 2019;14/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1010;924,88;1135,31;979;979;979;1
15 de octubre de 2019;15/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1020,5;924,88;1135,31;969;969;969;1
16 de octubre de 2019;16/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1021;924,88;1135,31;1065;1065;1065;1
17 de octubre de 2019;17/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1022;924,88;1135,31;1067;1067;1067;1
18 de octubre de 2019;18/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1026,25;945,855;1135,31;1046;1046;1046;1
19 de octubre de 2019;19/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1028,5;953,18;1135,31;954;954;954;1
20 de octubre de 2019;20/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1031;921,785;1123,58;915;915;915;1
21 de octubre de 2019;21/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1032,5;921,785;1117,31;978;978;978;1
22 de octubre de 2019;22/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1031;921,785;1117,31;1103;1103;1103;1
23 de octubre de 2019;23/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1036;921,785;1117,31;988;988;988;1
24 de octubre de 2019;24/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1042,75;921,785;1121,1;1050;1050;1050;1
25 de octubre de 2019;25/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1047;921,785;1129,86;1011;1011;1011;1
26 de octubre de 2019;26/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1047,5;921,785;1130,55;1047;1047;1047;1
27 de octubre de 2019;27/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1047,5;950,345;1130,55;949;949;949;1
28 de octubre de 2019;28/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1050;956,71;1130,55;1013;1013;1013;1
29 de octubre de 2019;29/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1056,5;956,71;1130,55;1068;1068;1068;1
30 de octubre de 2019;30/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1063,5;956,71;1130,55;991;991;991;1
31 de octubre de 2019;31/10/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1056,5;956,71;1136,48;1054;1054;1054;1
1 de noviembre de 2019;01/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1053,75;959,845;1133,03;1106;1106;1106;1
2 de noviembre de 2019;02/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1055,25;968,97;1133,03;1097;1097;1097;1
3 de noviembre de 2019;03/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1058;968,97;1133,03;993;993;993;1
4 de noviembre de 2019;04/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1057,5;973,69;1133,03;1061;1061;1061;1
5 de noviembre de 2019;05/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1056,5;980,21;1150,68;1071;1071;1071;1
6 de noviembre de 2019;06/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1054,5;980,21;1162,41;1005;1005;1005;1
7 de noviembre de 2019;07/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1058,5;986,42;1162,41;1012;1012;1012;1
8 de noviembre de 2019;08/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1073;986,42;1162,41;1108;1108;1108;1
9 de noviembre de 2019;09/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1081;978,485;1166,55;1061;1061;1061;1
10 de noviembre de 2019;10/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1079,5;978,485;1166,55;1026;1026;1026;1
11 de noviembre de 2019;11/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1084,5;988,435;1166,55;1018;1018;1018;1
12 de noviembre de 2019;12/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1087;988,435;1164,31;1102;1102;1102;1
13 de noviembre de 2019;13/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1097;990,505;1164,31;1119;1119;1119;1
14 de noviembre de 2019;14/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1098;976,625;1165;1161;1161;1161;1
15 de noviembre de 2019;15/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095,5;976,625;1171,51;1107;1107;1107;1
31 de marzo de 2020;31/03/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1131;1035,63;1238,785;2963;2963;2963;1
1 de abril de 2020;01/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1128;1032,18;1238,785;2892;2892;2892;1
2 de abril de 2020;02/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1122,5;1032,18;1238,785;2753;2753;2753;1
3 de abril de 2020;03/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1121,5;1018,38;1228,395;2745;2745;2745;1
4 de abril de 2020;04/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1113;1018,38;1216,665;2473;2473;2473;1
5 de abril de 2020;05/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1109;1018,38;1216,665;2524;2524;2524;1
6 de abril de 2020;06/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1108;1032,8;1203,1;2453;2453;2453;1
7 de abril de 2020;07/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1107;1030,04;1192,06;2536;2536;2536;1
8 de abril de 2020;08/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1108;1014,97;1190,68;2417;2417;2417;1
9 de abril de 2020;09/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1107;1014,97;1190,68;2233;2233;2233;1
10 de abril de 2020;10/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1107;1026,01;1190,68;2186;2186;2186;1
11 de abril de 2020;11/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1108,5;1026,01;1190,68;2064;2064;2064;1
12 de abril de 2020;12/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1108,5;1008,07;1190,68;1975;1975;1975;1
13 de abril de 2020;13/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1100,5;1003,21;1187,23;1939;1939;1939;1
14 de abril de 2020;14/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1100;987,39;1187,23;1907;1907;1907;1
15 de abril de 2020;15/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1093,5;987,39;1195,6;1830;1830;1830;1
16 de abril de 2020;16/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1089;987,39;1195,6;1712;1712;1712;1
17 de abril de 2020;17/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1087;983,25;1195,945;1755;1755;1755;1
18 de abril de 2020;18/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1078,5;965,38;1195,945;1658;1658;1658;1
19 de abril de 2020;19/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1074,5;965,38;1195,945;1526;1526;1526;1
20 de abril de 2020;20/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1061;964,69;1195,945;1480;1480;1480;1
21 de abril de 2020;21/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1065,5;964,69;1195,945;1592;1592;1592;1
22 de abril de 2020;22/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1068;964,69;1154,73;1397;1397;1397;1
23 de abril de 2020;23/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1064;964,69;1158,525;1336;1336;1336;1
24 de abril de 2020;24/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1058;964,69;1146,205;1435;1435;1435;1
25 de abril de 2020;25/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1058;960,66;1146,205;1337;1337;1337;1
26 de abril de 2020;26/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1059;956,52;1146,205;1229;1229;1229;1
27 de abril de 2020;27/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1065,5;956,52;1146,205;1269;1269;1269;1
28 de abril de 2020;28/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1058;946,97;1137,58;1289;1289;1289;1
29 de abril de 2020;29/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1053;946,97;1137,58;1202;1202;1202;1
30 de abril de 2020;30/04/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1053;946,97;1114,62;1207;1207;1207;1
1 de mayo de 2020;01/05/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1047;946,97;1150,965;1181;1181;1181;1
