;fecha;total_altas;Localizacion;Provincia
0;2020-03-01;;Andalucia, Spain;Andalucia
1;2020-03-09;11,0;Andalucia, Spain;Andalucia
2;2020-03-10;11,0;Andalucia, Spain;Andalucia
3;2020-03-11;11,0;Andalucia, Spain;Andalucia
4;2020-03-12;11,0;Andalucia, Spain;Andalucia
5;2020-03-13;11,0;Andalucia, Spain;Andalucia
6;2020-03-14;11,0;Andalucia, Spain;Andalucia
7;2020-03-15;11,0;Andalucia, Spain;Andalucia
8;2020-03-16;11,0;Andalucia, Spain;Andalucia
9;2020-03-17;11,0;Andalucia, Spain;Andalucia
10;2020-03-18;33,0;Andalucia, Spain;Andalucia
11;2020-03-19;33,0;Andalucia, Spain;Andalucia
12;2020-03-20;36,0;Andalucia, Spain;Andalucia
13;2020-03-21;36,0;Andalucia, Spain;Andalucia
14;2020-03-22;38,0;Andalucia, Spain;Andalucia
15;2020-03-23;50,0;Andalucia, Spain;Andalucia
16;2020-03-24;66,0;Andalucia, Spain;Andalucia
17;2020-03-25;71,0;Andalucia, Spain;Andalucia
18;2020-03-26;77,0;Andalucia, Spain;Andalucia
19;2020-03-27;92,0;Andalucia, Spain;Andalucia
20;2020-03-28;139,0;Andalucia, Spain;Andalucia
21;2020-03-29;148,0;Andalucia, Spain;Andalucia
22;2020-03-30;155,0;Andalucia, Spain;Andalucia
23;2020-03-31;160,0;Andalucia, Spain;Andalucia
24;2020-04-01;182,0;Andalucia, Spain;Andalucia
25;2020-04-02;228,0;Andalucia, Spain;Andalucia
26;2020-04-03;258,0;Andalucia, Spain;Andalucia
27;2020-04-04;463,0;Andalucia, Spain;Andalucia
28;2020-04-05;665,0;Andalucia, Spain;Andalucia
29;2020-04-06;798,0;Andalucia, Spain;Andalucia
30;2020-04-07;900,0;Andalucia, Spain;Andalucia
31;2020-04-08;1041,0;Andalucia, Spain;Andalucia
32;2020-04-09;1193,0;Andalucia, Spain;Andalucia
33;2020-04-10;1437,0;Andalucia, Spain;Andalucia
34;2020-04-11;1630,0;Andalucia, Spain;Andalucia
35;2020-04-12;1838,0;Andalucia, Spain;Andalucia
36;2020-04-13;1967,0;Andalucia, Spain;Andalucia
37;2020-04-14;2032,0;Andalucia, Spain;Andalucia
38;2020-04-15;2224,0;Andalucia, Spain;Andalucia
39;2020-04-16;2634,0;Andalucia, Spain;Andalucia
40;2020-04-17;2790,0;Andalucia, Spain;Andalucia
41;2020-04-18;2948,0;Andalucia, Spain;Andalucia
42;2020-04-19;3116,0;Andalucia, Spain;Andalucia
43;2020-04-20;3229,0;Andalucia, Spain;Andalucia
44;2020-04-21;3411,0;Andalucia, Spain;Andalucia
45;2020-04-22;3569,0;Andalucia, Spain;Andalucia
46;2020-04-23;3847,0;Andalucia, Spain;Andalucia
47;2020-04-24;3992,0;Andalucia, Spain;Andalucia
48;2020-04-25;4295,0;Andalucia, Spain;Andalucia
49;2020-04-26;4741,0;Andalucia, Spain;Andalucia
50;2020-04-27;4890,0;Andalucia, Spain;Andalucia
51;2020-04-28;5039,0;Andalucia, Spain;Andalucia
52;2020-04-29;5272,0;Andalucia, Spain;Andalucia
53;2020-04-30;5710,0;Andalucia, Spain;Andalucia
54;2020-05-01;6334,0;Andalucia, Spain;Andalucia
55;2020-05-02;6821,0;Andalucia, Spain;Andalucia
56;2020-05-03;6897,0;Andalucia, Spain;Andalucia
57;2020-05-04;7021,0;Andalucia, Spain;Andalucia
58;2020-05-05;7230,0;Andalucia, Spain;Andalucia
59;2020-05-06;7679,0;Andalucia, Spain;Andalucia
60;2020-05-07;8076,0;Andalucia, Spain;Andalucia
61;2020-05-08;8435,0;Andalucia, Spain;Andalucia
62;2020-05-09;8779,0;Andalucia, Spain;Andalucia
63;2020-05-10;9020,0;Andalucia, Spain;Andalucia
64;2020-05-11;9205,0;Andalucia, Spain;Andalucia
65;2020-05-12;9297,0;Andalucia, Spain;Andalucia
66;2020-05-13;9481,0;Andalucia, Spain;Andalucia
67;2020-05-14;9918,0;Andalucia, Spain;Andalucia
68;2020-05-15;10148,0;Andalucia, Spain;Andalucia
69;2020-05-16;10319,0;Andalucia, Spain;Andalucia
70;2020-05-17;10611,0;Andalucia, Spain;Andalucia
71;2020-05-18;10671,0;Andalucia, Spain;Andalucia
72;2020-03-01;;Aragon, Spain;Aragon
73;2020-03-09;0,0;Aragon, Spain;Aragon
74;2020-03-10;0,0;Aragon, Spain;Aragon
75;2020-03-11;0,0;Aragon, Spain;Aragon
76;2020-03-12;0,0;Aragon, Spain;Aragon
77;2020-03-13;0,0;Aragon, Spain;Aragon
78;2020-03-14;0,0;Aragon, Spain;Aragon
79;2020-03-15;0,0;Aragon, Spain;Aragon
80;2020-03-16;0,0;Aragon, Spain;Aragon
81;2020-03-17;0,0;Aragon, Spain;Aragon
82;2020-03-18;0,0;Aragon, Spain;Aragon
83;2020-03-19;0,0;Aragon, Spain;Aragon
84;2020-03-20;0,0;Aragon, Spain;Aragon
85;2020-03-21;0,0;Aragon, Spain;Aragon
86;2020-03-22;3,0;Aragon, Spain;Aragon
87;2020-03-23;3,0;Aragon, Spain;Aragon
88;2020-03-24;3,0;Aragon, Spain;Aragon
89;2020-03-25;4,0;Aragon, Spain;Aragon
