;fecha;total_casos;Localizacion;Provincia
0;2020-02-21;0;Andalucia, Spain;Andalucia
1;2020-02-22;0;Andalucia, Spain;Andalucia
2;2020-02-23;0;Andalucia, Spain;Andalucia
3;2020-02-24;0;Andalucia, Spain;Andalucia
4;2020-02-25;0;Andalucia, Spain;Andalucia
5;2020-02-26;0;Andalucia, Spain;Andalucia
6;2020-02-27;1;Andalucia, Spain;Andalucia
7;2020-02-28;6;Andalucia, Spain;Andalucia
8;2020-02-29;8;Andalucia, Spain;Andalucia
9;2020-03-01;12;Andalucia, Spain;Andalucia
10;2020-03-02;12;Andalucia, Spain;Andalucia
11;2020-03-03;12;Andalucia, Spain;Andalucia
12;2020-03-04;12;Andalucia, Spain;Andalucia
13;2020-03-05;12;Andalucia, Spain;Andalucia
14;2020-03-06;21;Andalucia, Spain;Andalucia
15;2020-03-07;27;Andalucia, Spain;Andalucia
16;2020-03-08;34;Andalucia, Spain;Andalucia
17;2020-03-09;54;Andalucia, Spain;Andalucia
18;2020-03-10;71;Andalucia, Spain;Andalucia
19;2020-03-11;90;Andalucia, Spain;Andalucia
20;2020-03-12;115;Andalucia, Spain;Andalucia
21;2020-03-13;219;Andalucia, Spain;Andalucia
22;2020-03-14;269;Andalucia, Spain;Andalucia
23;2020-03-15;437;Andalucia, Spain;Andalucia
24;2020-03-16;554;Andalucia, Spain;Andalucia
25;2020-03-17;683;Andalucia, Spain;Andalucia
26;2020-03-18;859;Andalucia, Spain;Andalucia
27;2020-03-19;1008;Andalucia, Spain;Andalucia
28;2020-03-20;1287;Andalucia, Spain;Andalucia
29;2020-03-21;1515;Andalucia, Spain;Andalucia
30;2020-03-22;1725;Andalucia, Spain;Andalucia
31;2020-03-23;1961;Andalucia, Spain;Andalucia
32;2020-03-24;2470;Andalucia, Spain;Andalucia
33;2020-03-25;3008;Andalucia, Spain;Andalucia
34;2020-03-26;3404;Andalucia, Spain;Andalucia
35;2020-03-27;3790;Andalucia, Spain;Andalucia
36;2020-03-28;4271;Andalucia, Spain;Andalucia
37;2020-03-29;4676;Andalucia, Spain;Andalucia
38;2020-03-30;5398;Andalucia, Spain;Andalucia
39;2020-03-31;5809;Andalucia, Spain;Andalucia
40;2020-04-01;6379;Andalucia, Spain;Andalucia
41;2020-04-02;6957;Andalucia, Spain;Andalucia
42;2020-04-03;7353;Andalucia, Spain;Andalucia
43;2020-04-04;7847;Andalucia, Spain;Andalucia
44;2020-04-05;8279;Andalucia, Spain;Andalucia
45;2020-04-06;8559;Andalucia, Spain;Andalucia
46;2020-04-07;8743;Andalucia, Spain;Andalucia
47;2020-04-08;8973;Andalucia, Spain;Andalucia
48;2020-04-09;9234;Andalucia, Spain;Andalucia
49;2020-04-10;9482;Andalucia, Spain;Andalucia
50;2020-04-11;9682;Andalucia, Spain;Andalucia
51;2020-04-12;9976;Andalucia, Spain;Andalucia
52;2020-04-13;10062;Andalucia, Spain;Andalucia
53;2020-04-14;10283;Andalucia, Spain;Andalucia
54;2020-04-15;10561;Andalucia, Spain;Andalucia
55;2020-04-16;10773;Andalucia, Spain;Andalucia
56;2020-04-17;11018;Andalucia, Spain;Andalucia
57;2020-04-18;11168;Andalucia, Spain;Andalucia
58;2020-04-19;11389;Andalucia, Spain;Andalucia
59;2020-04-20;11518;Andalucia, Spain;Andalucia
60;2020-04-21;11648;Andalucia, Spain;Andalucia
61;2020-04-22;11879;Andalucia, Spain;Andalucia
62;2020-04-23;12195;Andalucia, Spain;Andalucia
63;2020-04-24;12449;Andalucia, Spain;Andalucia
64;2020-04-25;12774;Andalucia, Spain;Andalucia
65;2020-04-26;12972;Andalucia, Spain;Andalucia
66;2020-04-27;13108;Andalucia, Spain;Andalucia
67;2020-04-28;13195;Andalucia, Spain;Andalucia
68;2020-04-29;13445;Andalucia, Spain;Andalucia
69;2020-04-30;13624;Andalucia, Spain;Andalucia
70;2020-05-01;13881;Andalucia, Spain;Andalucia
71;2020-05-02;14128;Andalucia, Spain;Andalucia
72;2020-05-03;14251;Andalucia, Spain;Andalucia
73;2020-05-04;14311;Andalucia, Spain;Andalucia
74;2020-05-05;14351;Andalucia, Spain;Andalucia
75;2020-05-06;14593;Andalucia, Spain;Andalucia
76;2020-05-07;14824;Andalucia, Spain;Andalucia
77;2020-05-08;15002;Andalucia, Spain;Andalucia
78;2020-05-09;15180;Andalucia, Spain;Andalucia
79;2020-05-10;15355;Andalucia, Spain;Andalucia
80;2020-05-11;15422;Andalucia, Spain;Andalucia
81;2020-05-12;15522;Andalucia, Spain;Andalucia
82;2020-05-13;15629;Andalucia, Spain;Andalucia
83;2020-05-14;15823;Andalucia, Spain;Andalucia
84;2020-05-15;16068;Andalucia, Spain;Andalucia
85;2020-05-16;16263;Andalucia, Spain;Andalucia
86;2020-05-17;16432;Andalucia, Spain;Andalucia
87;2020-05-18;16457;Andalucia, Spain;Andalucia
88;2020-05-19;16488;Andalucia, Spain;Andalucia
89;2020-05-20;16501;Andalucia, Spain;Andalucia
90;2020-05-21;16546;Andalucia, Spain;Andalucia
91;2020-02-21;0;Aragon, Spain;Aragon
92;2020-02-22;0;Aragon, Spain;Aragon
93;2020-02-23;0;Aragon, Spain;Aragon
94;2020-02-24;0;Aragon, Spain;Aragon
95;2020-02-25;0;Aragon, Spain;Aragon
96;2020-02-26;0;Aragon, Spain;Aragon
97;2020-02-27;0;Aragon, Spain;Aragon
98;2020-02-28;0;Aragon, Spain;Aragon
99;2020-02-29;0;Aragon, Spain;Aragon
100;2020-03-01;0;Aragon, Spain;Aragon
101;2020-03-02;0;Aragon, Spain;Aragon
102;2020-03-03;0;Aragon, Spain;Aragon
103;2020-03-04;0;Aragon, Spain;Aragon
104;2020-03-05;1;Aragon, Spain;Aragon
105;2020-03-06;1;Aragon, Spain;Aragon
106;2020-03-07;5;Aragon, Spain;Aragon
107;2020-03-08;5;Aragon, Spain;Aragon
108;2020-03-09;7;Aragon, Spain;Aragon
109;2020-03-10;30;Aragon, Spain;Aragon
110;2020-03-11;38;Aragon, Spain;Aragon
111;2020-03-12;45;Aragon, Spain;Aragon
112;2020-03-13;64;Aragon, Spain;Aragon
113;2020-03-14;80;Aragon, Spain;Aragon
114;2020-03-15;121;Aragon, Spain;Aragon
115;2020-03-16;147;Aragon, Spain;Aragon
116;2020-03-17;207;Aragon, Spain;Aragon
117;2020-03-18;226;Aragon, Spain;Aragon
118;2020-03-19;281;Aragon, Spain;Aragon
