;date;location;new_cases;new_deaths;total_cases;total_deaths
22334;2020-06-08;Zimbabwe;3;0;282;4
21750;2020-06-08;Venezuela;61;0;2377;22
9834;2020-06-08;Iran;2364;72;171789;8281
14775;2020-06-08;New Zealand;0;0;1154;22
18280;2020-06-08;Slovakia;0;0;1528;28
13094;2020-06-08;Malta;7;0;629;9
11979;2020-06-08;Libya;0;0;256;5
5409;2020-06-08;Czech Republic;61;0;9628;327
13505;2020-06-08;Moldova;189;10;9700;341
8298;2020-06-08;Greenland;0;0;13;0
638;2020-06-08;Anguilla;0;0;3;0
4022;2020-06-08;Cayman Islands;0;0;164;1
813;2020-06-08;Argentina;774;16;22781;664
14070;2020-06-08;Mozambique;15;0;426;2
4107;2020-06-08;Central African Republic;64;0;1634;5
21009;2020-06-08;United Arab Emirates;540;1;38808;276
11903;2020-06-08;Liberia;14;0;359;30
21907;2020-06-08;Vietnam;2;0;331;0
16074;2020-06-08;Peru;4757;164;196515;5465
8217;2020-06-08;Greece;0;0;2952;180
18375;2020-06-08;Slovenia;0;0;1485;108
20525;2020-06-08;Tunisia;0;0;1087;49
4188;2020-06-08;Chad;1;0;837;69
19257;2020-06-08;Suriname;22;0;122;1
14623;2020-06-08;New Caledonia;0;0;20;0
2487;2020-06-08;Bermuda;0;0;141;9
7158;2020-06-08;Finland;17;1;6981;323
17060;2020-06-08;Rwanda;8;0;439;2
18459;2020-06-08;Somalia;45;1;2334;83
5497;2020-06-08;Democratic Republic of Congo;138;4;4016;85
19343;2020-06-08;Swaziland;11;0;333;3
5248;2020-06-08;Cyprus;4;0;964;18
3941;2020-06-08;Cape Verde;12;0;554;5
19665;2020-06-08;Switzerland;9;0;30882;1660
13992;2020-06-08;Morocco;92;0;8224;208
14857;2020-06-08;Nicaragua;0;0;1309;46
10551;2020-06-08;Italy;197;53;234998;33899
19504;2020-06-08;Sweden;843;3;44730;4659
2084;2020-06-08;Belarus;879;6;48630;269
13000;2020-06-08;Mali;10;2;1533;92
12069;2020-06-08;Liechtenstein;0;0;83;1
6920;2020-06-08;Falkland Islands;0;0;13;0
1204;2020-06-08;Australia;5;0;7260;102
8544;2020-06-08;Guatemala;263;22;7055;252
11227;2020-06-08;Kosovo;0;0;1142;30
13654;2020-06-08;Monaco;0;0;99;5
3861;2020-06-08;Canada;642;27;95688;7800
15981;2020-06-08;Paraguay;45;0;1135;11
20854;2020-06-08;Ukraine;485;11;26999;788
150;2020-06-08;Afghanistan;791;30;20342;357
18187;2020-06-08;Sint Maarten (Dutch part);0;0;77;15
20612;2020-06-08;Turkey;914;23;170132;4692
8376;2020-06-08;Grenada;0;0;23;0
21407;2020-06-08;United States Virgin Islands;0;0;71;6
20345;2020-06-08;Togo;8;0;495;13
7001;2020-06-08;Fiji;0;0;18;0
17221;2020-06-08;Saint Lucia;0;0;19;0
2574;2020-06-08;Bhutan;11;0;59;0
398;2020-06-08;Algeria;104;9;10154;707
17135;2020-06-08;Saint Kitts and Nevis;0;0;15;0
11819;2020-06-08;Lesotho;0;0;4;0
16231;2020-06-08;Philippines;555;9;21895;1003
21951;2020-06-08;Western Sahara;0;0;23;1
21170;2020-06-08;United Kingdom;1326;77;286194;40542
4573;2020-06-08;Comoros;0;0;141;2
7401;2020-06-08;French Polynesia;0;0;60;0
7488;2020-06-08;Gabon;0;0;3101;21
18552;2020-06-08;South Africa;2312;46;48285;998
10152;2020-06-08;Ireland;18;9;25201;1679
14382;2020-06-08;Nepal;536;2;3448;13
4996;2020-06-08;Croatia;0;0;2247;104
4658;2020-06-08;Congo;0;0;683;22
16813;2020-06-08;Romania;189;8;20479;1326
13180;2020-06-08;Mauritania;0;0;947;43
14234;2020-06-08;Namibia;0;0;29;0
16497;2020-06-08;Puerto Rico;70;0;4985;142
10232;2020-06-08;Isle of Man;0;0;336;24
20433;2020-06-08;Trinidad and Tobago;0;0;117;8
7729;2020-06-08;Georgia;0;0;808;13
18713;2020-06-08;South Korea;38;0;11814;273
4838;2020-06-08;Cote d'Ivoire;182;0;3739;36
4751;2020-06-08;Costa Rica;55;0;1318;10
1519;2020-06-08;Azerbaijan;314;4;7553;88
13261;2020-06-08;Mauritius;0;0;337;10
11637;2020-06-08;Latvia;2;0;1088;25
16654;2020-06-08;Qatar;1595;3;68790;54
7571;2020-06-08;Gambia;0;0;26;1
18777;2020-06-08;South Sudan;0;0;1317;14
22112;2020-06-08;World;124305;3333;6960259;401970
719;2020-06-08;Antigua and Barbuda;0;0;26;3
2322;2020-06-08;Belize;0;0;18;2
10881;2020-06-08;Jersey;0;0;311;30
16424;2020-06-08;Portugal;142;5;34493;1479
8058;2020-06-08;Gibraltar;1;0;175;0
4535;2020-06-08;Colombia;1209;54;39236;1259
11385;2020-06-08;Kuwait;717;10;31848;264
4284;2020-06-08;Chile;6405;96;134150;1637
19176;2020-06-08;Sudan;218;12;6083;359
1602;2020-06-08;Bahamas;0;0;103;11
1365;2020-06-08;Austria;46;0;16868;672
5159;2020-06-08;Curacao;0;0;21;1
11794;2020-06-08;Lebanon;11;1;1331;30
21331;2020-06-08;United States;22302;712;1942363;110514
16974;2020-06-08;Russia;8984;134;467673;5859
19089;2020-06-08;Sri Lanka;21;0;1835;11
5082;2020-06-08;Cuba;18;0;2191;83
14148;2020-06-08;Myanmar;3;0;243;6
9993;2020-06-08;Iraq;1268;28;12366;346
14543;2020-06-08;Netherlands;239;2;47574;6013
11467;2020-06-08;Kyrgyzstan;25;1;2032;23
4445;2020-06-08;China;5;0;84191;4638
2406;2020-06-08;Benin;0;0;268;4
13414;2020-06-08;Mexico;3484;188;117103;13699
7977;2020-06-08;Ghana;176;0;9638;44
242;2020-06-08;Albania;14;0;1246;34
22172;2020-06-08;Yemen;13;0;486;112
10390;2020-06-08;Israel;132;1;17915;298
2245;2020-06-08;Belgium;154;15;59226;9595
16326;2020-06-08;Poland;575;4;26561;1157
7890;2020-06-08;Germany;214;6;184193;8674
7319;2020-06-08;France;343;13;153977;29155
11543;2020-06-08;Laos;0;0;19;0
3700;2020-06-08;Cameroon;309;3;7908;215
8458;2020-06-08;Guam;0;0;179;5
13739;2020-06-08;Mongolia;1;0;194;0
20258;2020-06-08;Timor;0;0;24;0
1931;2020-06-08;Barbados;0;0;92;7
19941;2020-06-08;Tajikistan;76;0;4529;48
564;2020-06-08;Angola;5;0;91;4
20688;2020-06-08;Turks and Caicos Islands;0;0;12;1
6365;2020-06-08;El Salvador;81;2;3015;55
1762;2020-06-08;Bahrain;380;2;14763;26
9134;2020-06-08;Hungary;0;0;3970;542
13901;2020-06-08;Montserrat;0;0;11;1
3391;2020-06-08;Burkina Faso;1;0;889;53
2730;2020-06-08;Bonaire Sint Eustatius and Saba;0;0;7;0
12527;2020-06-08;Macedonia;111;2;3028;153
11055;2020-06-08;Kazakhstan;165;3;12859;56
15812;2020-06-08;Panama;421;7;16425;393
12607;2020-06-08;Madagascar;26;1;1052;9
8871;2020-06-08;Guyana;0;0;154;12
10800;2020-06-08;Japan;33;0;17174;916
485;2020-06-08;Andorra;0;0;852;51
15629;2020-06-08;Pakistan;4728;65;103671;2067
9609;2020-06-08;Indonesia;672;50;31186;1851
13822;2020-06-08;Montenegro;0;0;324;9
6686;2020-06-08;Estonia;8;0;1939;69
3303;2020-06-08;Bulgaria;16;0;2727;160
15087;2020-06-08;Nigeria;253;12;12486;354
19902;2020-06-08;Taiwan;0;0;443;7
8952;2020-06-08;Haiti;262;1;3334;51
9039;2020-06-08;Honduras;172;8;6327;258
1043;2020-06-08;Aruba;0;0;101;3
17796;2020-06-08;Serbia;82;1;11823;249
9455;2020-06-08;India;9983;206;256611;7135
15157;2020-06-08;Northern Mariana Islands;0;0;27;2
2818;2020-06-08;Bosnia and Herzegovina;0;0;2605;158
