;date;location;total_cases;total_deaths;population;total_casesx100m;total_deathsx100m
0;2020-06-08;Zimbabwe;282;4;14862927,0;1,0;0,0
1;2020-06-08;Venezuela;2377;22;28435943,0;8,0;0,0
2;2020-06-08;Iran;171789;8281;83992953,0;204,0;9,0
3;2020-06-08;New Zealand;1154;22;4822233,0;23,0;0,0
4;2020-06-08;Slovakia;1528;28;5459643,0;27,0;0,0
5;2020-06-08;Malta;629;9;441539,0;142,0;2,0
6;2020-06-08;Libya;256;5;6871287,0;3,0;0,0
7;2020-06-08;Czech Republic;9628;327;10708982,0;89,0;3,0
8;2020-06-08;Moldova;9700;341;4033963,0;240,0;8,0
9;2020-06-08;Greenland;13;0;56772,0;22,0;0,0
10;2020-06-08;Anguilla;3;0;15002,0;19,0;0,0
11;2020-06-08;Cayman Islands;164;1;65720,0;249,0;1,0
12;2020-06-08;Argentina;22781;664;45195777,0;50,0;1,0
13;2020-06-08;Mozambique;426;2;31255435,0;1,0;0,0
14;2020-06-08;Central African Republic;1634;5;4829764,0;33,0;0,0
15;2020-06-08;United Arab Emirates;38808;276;9890400,0;392,0;2,0
16;2020-06-08;Liberia;359;30;5057677,0;7,0;0,0
17;2020-06-08;Vietnam;331;0;97338583,0;0,0;0,0
18;2020-06-08;Peru;196515;5465;32971846,0;596,0;16,0
19;2020-06-08;Greece;2952;180;10423056,0;28,0;1,0
20;2020-06-08;Slovenia;1485;108;2078932,0;71,0;5,0
21;2020-06-08;Tunisia;1087;49;11818618,0;9,0;0,0
22;2020-06-08;Chad;837;69;16425859,0;5,0;0,0
23;2020-06-08;Suriname;122;1;586634,0;20,0;0,0
24;2020-06-08;New Caledonia;20;0;285491,0;7,0;0,0
25;2020-06-08;Bermuda;141;9;62273,0;226,0;14,0
26;2020-06-08;Finland;6981;323;5540718,0;125,0;5,0
27;2020-06-08;Rwanda;439;2;12952209,0;3,0;0,0
28;2020-06-08;Somalia;2334;83;15893219,0;14,0;0,0
29;2020-06-08;Democratic Republic of Congo;4016;85;89561404,0;4,0;0,0
30;2020-06-08;Swaziland;333;3;1160164,0;28,0;0,0
31;2020-06-08;Cyprus;964;18;875899,0;110,0;2,0
32;2020-06-08;Cape Verde;554;5;555988,0;99,0;0,0
33;2020-06-08;Switzerland;30882;1660;8654618,0;356,0;19,0
34;2020-06-08;Morocco;8224;208;36910558,0;22,0;0,0
35;2020-06-08;Nicaragua;1309;46;6624554,0;19,0;0,0
36;2020-06-08;Italy;234998;33899;60461828,0;388,0;56,0
37;2020-06-08;Sweden;44730;4659;10099270,0;442,0;46,0
38;2020-06-08;Belarus;48630;269;9449321,0;514,0;2,0
39;2020-06-08;Mali;1533;92;20250834,0;7,0;0,0
40;2020-06-08;Liechtenstein;83;1;38137,0;217,0;2,0
41;2020-06-08;Falkland Islands;13;0;3483,0;373,0;0,0
42;2020-06-08;Australia;7260;102;25499881,0;28,0;0,0
43;2020-06-08;Guatemala;7055;252;17915567,0;39,0;1,0
44;2020-06-08;Kosovo;1142;30;1932774,0;59,0;1,0
45;2020-06-08;Monaco;99;5;39244,0;252,0;12,0
46;2020-06-08;Canada;95688;7800;37742157,0;253,0;20,0
47;2020-06-08;Paraguay;1135;11;7132530,0;15,0;0,0
48;2020-06-08;Ukraine;26999;788;43733759,0;61,0;1,0
49;2020-06-08;Afghanistan;20342;357;38928341,0;52,0;0,0
50;2020-06-08;Sint Maarten (Dutch part);77;15;42882,0;179,0;34,0
51;2020-06-08;Turkey;170132;4692;84339067,0;201,0;5,0
52;2020-06-08;Grenada;23;0;112519,0;20,0;0,0
53;2020-06-08;United States Virgin Islands;71;6;104423,0;67,0;5,0
54;2020-06-08;Togo;495;13;8278737,0;5,0;0,0
55;2020-06-08;Fiji;18;0;896444,0;2,0;0,0
56;2020-06-08;Saint Lucia;19;0;183629,0;10,0;0,0
57;2020-06-08;Bhutan;59;0;771612,0;7,0;0,0
58;2020-06-08;Algeria;10154;707;43851043,0;23,0;1,0
59;2020-06-08;Saint Kitts and Nevis;15;0;53192,0;28,0;0,0
60;2020-06-08;Lesotho;4;0;2142252,0;0,0;0,0
61;2020-06-08;Philippines;21895;1003;109581085,0;19,0;0,0
62;2020-06-08;Western Sahara;23;1;597330,0;3,0;0,0
63;2020-06-08;United Kingdom;286194;40542;67886004,0;421,0;59,0
64;2020-06-08;Comoros;141;2;869595,0;16,0;0,0
65;2020-06-08;French Polynesia;60;0;280904,0;21,0;0,0
66;2020-06-08;Gabon;3101;21;2225728,0;139,0;0,0
67;2020-06-08;South Africa;48285;998;59308690,0;81,0;1,0
68;2020-06-08;Ireland;25201;1679;4937796,0;510,0;34,0
69;2020-06-08;Nepal;3448;13;29136808,0;11,0;0,0
70;2020-06-08;Croatia;2247;104;4105268,0;54,0;2,0
71;2020-06-08;Congo;683;22;5518092,0;12,0;0,0
72;2020-06-08;Romania;20479;1326;19237682,0;106,0;6,0
73;2020-06-08;Mauritania;947;43;4649660,0;20,0;0,0
74;2020-06-08;Namibia;29;0;2540916,0;1,0;0,0
75;2020-06-08;Puerto Rico;4985;142;2860840,0;174,0;4,0
76;2020-06-08;Isle of Man;336;24;85032,0;395,0;28,0
77;2020-06-08;Trinidad and Tobago;117;8;1399491,0;8,0;0,0
78;2020-06-08;Georgia;808;13;3989175,0;20,0;0,0
79;2020-06-08;South Korea;11814;273;51269183,0;23,0;0,0
80;2020-06-08;Cote d'Ivoire;3739;36;26378275,0;14,0;0,0
81;2020-06-08;Costa Rica;1318;10;5094114,0;25,0;0,0
82;2020-06-08;Azerbaijan;7553;88;10139175,0;74,0;0,0
83;2020-06-08;Mauritius;337;10;1271767,0;26,0;0,0
84;2020-06-08;Latvia;1088;25;1886202,0;57,0;1,0
85;2020-06-08;Qatar;68790;54;2881060,0;2387,0;1,0
86;2020-06-08;Gambia;26;1;2416664,0;1,0;0,0
87;2020-06-08;South Sudan;1317;14;11193729,0;11,0;0,0
89;2020-06-08;Antigua and Barbuda;26;3;97928,0;26,0;3,0
90;2020-06-08;Belize;18;2;397621,0;4,0;0,0
91;2020-06-08;Jersey;311;30;101073,0;307,0;29,0
92;2020-06-08;Portugal;34493;1479;10196707,0;338,0;14,0
93;2020-06-08;Gibraltar;175;0;33691,0;519,0;0,0
94;2020-06-08;Colombia;39236;1259;50882884,0;77,0;2,0
95;2020-06-08;Kuwait;31848;264;4270563,0;745,0;6,0
96;2020-06-08;Chile;134150;1637;19116209,0;701,0;8,0
97;2020-06-08;Sudan;6083;359;43849269,0;13,0;0,0
98;2020-06-08;Bahamas;103;11;393248,0;26,0;2,0
99;2020-06-08;Austria;16868;672;9006400,0;187,0;7,0
100;2020-06-08;Curacao;21;1;164100,0;12,0;0,0
101;2020-06-08;Lebanon;1331;30;6825442,0;19,0;0,0
102;2020-06-08;United States;1942363;110514;331002647,0;586,0;33,0
103;2020-06-08;Russia;467673;5859;145934460,0;320,0;4,0
104;2020-06-08;Sri Lanka;1835;11;21413250,0;8,0;0,0
105;2020-06-08;Cuba;2191;83;11326616,0;19,0;0,0
106;2020-06-08;Myanmar;243;6;54409794,0;0,0;0,0
107;2020-06-08;Iraq;12366;346;40222503,0;30,0;0,0
108;2020-06-08;Netherlands;47574;6013;17134873,0;277,0;35,0
109;2020-06-08;Kyrgyzstan;2032;23;6524191,0;31,0;0,0
110;2020-06-08;China;84191;4638;1439323774,0;5,0;0,0
111;2020-06-08;Benin;268;4;12123198,0;2,0;0,0
112;2020-06-08;Mexico;117103;13699;128932753,0;90,0;10,0
113;2020-06-08;Ghana;9638;44;31072945,0;31,0;0,0
114;2020-06-08;Albania;1246;34;2877800,0;43,0;1,0
115;2020-06-08;Yemen;486;112;29825968,0;1,0;0,0
