;fecha;CCAA;total_fallecidos;Localizacion
0;2020-03-04;Andalucia;0;Andalucia, Spain
1;2020-03-05;Andalucia;0;Andalucia, Spain
2;2020-03-06;Andalucia;0;Andalucia, Spain
3;2020-03-07;Andalucia;0;Andalucia, Spain
4;2020-03-08;Andalucia;0;Andalucia, Spain
5;2020-03-09;Andalucia;0;Andalucia, Spain
6;2020-03-10;Andalucia;0;Andalucia, Spain
7;2020-03-11;Andalucia;0;Andalucia, Spain
8;2020-03-12;Andalucia;0;Andalucia, Spain
9;2020-03-13;Andalucia;0;Andalucia, Spain
10;2020-03-14;Andalucia;2;Andalucia, Spain
11;2020-03-15;Andalucia;6;Andalucia, Spain
12;2020-03-16;Andalucia;7;Andalucia, Spain
13;2020-03-17;Andalucia;11;Andalucia, Spain
14;2020-03-18;Andalucia;19;Andalucia, Spain
15;2020-03-19;Andalucia;23;Andalucia, Spain
16;2020-03-20;Andalucia;30;Andalucia, Spain
17;2020-03-21;Andalucia;40;Andalucia, Spain
18;2020-03-22;Andalucia;47;Andalucia, Spain
19;2020-03-23;Andalucia;58;Andalucia, Spain
20;2020-03-24;Andalucia;87;Andalucia, Spain
21;2020-03-25;Andalucia;113;Andalucia, Spain
22;2020-03-26;Andalucia;134;Andalucia, Spain
23;2020-03-27;Andalucia;144;Andalucia, Spain
24;2020-03-28;Andalucia;175;Andalucia, Spain
25;2020-03-29;Andalucia;207;Andalucia, Spain
26;2020-03-30;Andalucia;236;Andalucia, Spain
27;2020-03-31;Andalucia;248;Andalucia, Spain
28;2020-04-01;Andalucia;308;Andalucia, Spain
29;2020-04-02;Andalucia;343;Andalucia, Spain
30;2020-04-03;Andalucia;376;Andalucia, Spain
31;2020-04-04;Andalucia;426;Andalucia, Spain
32;2020-04-05;Andalucia;470;Andalucia, Spain
33;2020-04-06;Andalucia;491;Andalucia, Spain
34;2020-04-07;Andalucia;528;Andalucia, Spain
35;2020-04-08;Andalucia;605;Andalucia, Spain
36;2020-04-09;Andalucia;652;Andalucia, Spain
37;2020-04-10;Andalucia;691;Andalucia, Spain
38;2020-04-11;Andalucia;737;Andalucia, Spain
39;2020-04-12;Andalucia;799;Andalucia, Spain
40;2020-04-13;Andalucia;815;Andalucia, Spain
41;2020-04-14;Andalucia;836;Andalucia, Spain
42;2020-04-15;Andalucia;865;Andalucia, Spain
43;2020-04-16;Andalucia;912;Andalucia, Spain
44;2020-04-17;Andalucia;940;Andalucia, Spain
45;2020-04-18;Andalucia;967;Andalucia, Spain
46;2020-04-19;Andalucia;993;Andalucia, Spain
47;2020-04-20;Andalucia;1013;Andalucia, Spain
48;2020-04-21;Andalucia;1017;Andalucia, Spain
49;2020-04-22;Andalucia;1050;Andalucia, Spain
50;2020-04-23;Andalucia;1079;Andalucia, Spain
51;2020-04-24;Andalucia;1107;Andalucia, Spain
52;2020-04-25;Andalucia;1131;Andalucia, Spain
53;2020-04-26;Andalucia;1145;Andalucia, Spain
54;2020-04-27;Andalucia;1157;Andalucia, Spain
55;2020-04-28;Andalucia;1168;Andalucia, Spain
56;2020-04-29;Andalucia;1188;Andalucia, Spain
57;2020-04-30;Andalucia;1207;Andalucia, Spain
58;2020-05-01;Andalucia;1238;Andalucia, Spain
59;2020-05-02;Andalucia;1253;Andalucia, Spain
60;2020-05-03;Andalucia;1256;Andalucia, Spain
61;2020-05-04;Andalucia;1263;Andalucia, Spain
62;2020-05-05;Andalucia;1267;Andalucia, Spain
63;2020-05-06;Andalucia;1281;Andalucia, Spain
64;2020-05-07;Andalucia;1294;Andalucia, Spain
65;2020-05-08;Andalucia;1301;Andalucia, Spain
66;2020-05-09;Andalucia;1317;Andalucia, Spain
67;2020-05-10;Andalucia;1320;Andalucia, Spain
68;2020-05-11;Andalucia;1322;Andalucia, Spain
69;2020-05-12;Andalucia;1326;Andalucia, Spain
70;2020-05-13;Andalucia;1332;Andalucia, Spain
71;2020-05-14;Andalucia;1336;Andalucia, Spain
72;2020-05-15;Andalucia;1344;Andalucia, Spain
73;2020-05-16;Andalucia;1355;Andalucia, Spain
74;2020-05-17;Andalucia;1358;Andalucia, Spain
75;2020-05-18;Andalucia;1358;Andalucia, Spain
76;2020-05-19;Andalucia;1367;Andalucia, Spain
77;2020-05-20;Andalucia;1371;Andalucia, Spain
78;2020-05-21;Andalucia;1375;Andalucia, Spain
79;2020-05-22;Andalucia;1377;Andalucia, Spain
80;2020-05-23;Andalucia;1389;Andalucia, Spain
81;2020-05-24;Andalucia;1391;Andalucia, Spain
82;2020-03-04;Aragon;0;Aragon, Spain
83;2020-03-05;Aragon;0;Aragon, Spain
84;2020-03-06;Aragon;1;Aragon, Spain
85;2020-03-07;Aragon;1;Aragon, Spain
86;2020-03-08;Aragon;2;Aragon, Spain
87;2020-03-09;Aragon;3;Aragon, Spain
88;2020-03-10;Aragon;4;Aragon, Spain
89;2020-03-11;Aragon;4;Aragon, Spain
90;2020-03-12;Aragon;6;Aragon, Spain
91;2020-03-13;Aragon;7;Aragon, Spain
92;2020-03-14;Aragon;7;Aragon, Spain
93;2020-03-15;Aragon;7;Aragon, Spain
94;2020-03-16;Aragon;11;Aragon, Spain
95;2020-03-17;Aragon;12;Aragon, Spain
96;2020-03-18;Aragon;13;Aragon, Spain
97;2020-03-19;Aragon;15;Aragon, Spain
98;2020-03-20;Aragon;17;Aragon, Spain
99;2020-03-21;Aragon;22;Aragon, Spain
100;2020-03-22;Aragon;24;Aragon, Spain
101;2020-03-23;Aragon;32;Aragon, Spain
102;2020-03-24;Aragon;37;Aragon, Spain
103;2020-03-25;Aragon;40;Aragon, Spain
104;2020-03-26;Aragon;48;Aragon, Spain
105;2020-03-27;Aragon;58;Aragon, Spain
106;2020-03-28;Aragon;93;Aragon, Spain
107;2020-03-29;Aragon;104;Aragon, Spain
108;2020-03-30;Aragon;106;Aragon, Spain
109;2020-03-31;Aragon;138;Aragon, Spain
110;2020-04-01;Aragon;169;Aragon, Spain
111;2020-04-02;Aragon;200;Aragon, Spain
112;2020-04-03;Aragon;224;Aragon, Spain
113;2020-04-04;Aragon;251;Aragon, Spain
114;2020-04-05;Aragon;270;Aragon, Spain
115;2020-04-06;Aragon;284;Aragon, Spain
116;2020-04-07;Aragon;312;Aragon, Spain
117;2020-04-08;Aragon;349;Aragon, Spain
118;2020-04-09;Aragon;385;Aragon, Spain
119;2020-04-10;Aragon;409;Aragon, Spain
120;2020-04-11;Aragon;425;Aragon, Spain
121;2020-04-12;Aragon;450;Aragon, Spain
122;2020-04-13;Aragon;464;Aragon, Spain
123;2020-04-14;Aragon;492;Aragon, Spain
124;2020-04-15;Aragon;514;Aragon, Spain
125;2020-04-16;Aragon;543;Aragon, Spain
126;2020-04-17;Aragon;562;Aragon, Spain
127;2020-04-18;Aragon;601;Aragon, Spain
128;2020-04-19;Aragon;619;Aragon, Spain
