;fecha;CCAA;total_altas;Localizacion;total_fallecidos;total_uci;total_hospitalizados;total_casos;total_fallecidos_diff;total_altas_diff;total_uci_diff;total_hospitalizados_diff;total_casos_diff
1577;2020-02-21;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1578;2020-02-22;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1579;2020-02-23;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1580;2020-02-24;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1581;2020-02-25;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1582;2020-02-26;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1583;2020-02-27;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0
1584;2020-02-28;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;5,0
1585;2020-02-29;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;2,0
0;2020-03-01;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;12,0
1586;2020-03-02;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0
1587;2020-03-03;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0
1368;2020-03-04;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0
1369;2020-03-05;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0
1370;2020-03-06;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;21,0;0,0;0,0;0,0;0,0;9,0
1371;2020-03-07;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;27,0;0,0;0,0;0,0;0,0;6,0
1372;2020-03-08;Andalucia;0,0;Andalucia, Spain;0,0;0,0;0,0;34,0;0,0;0,0;0,0;0,0;7,0
1;2020-03-09;Andalucia;11,0;Andalucia, Spain;0,0;1,0;0,0;54,0;0,0;11,0;1,0;0,0;20,0
2;2020-03-10;Andalucia;11,0;Andalucia, Spain;0,0;1,0;0,0;71,0;0,0;0,0;0,0;0,0;17,0
3;2020-03-11;Andalucia;11,0;Andalucia, Spain;0,0;3,0;32,0;90,0;0,0;0,0;2,0;32,0;19,0
4;2020-03-12;Andalucia;11,0;Andalucia, Spain;0,0;4,0;50,0;115,0;0,0;0,0;1,0;18,0;25,0
5;2020-03-13;Andalucia;11,0;Andalucia, Spain;0,0;8,0;92,0;219,0;0,0;0,0;4,0;42,0;104,0
6;2020-03-14;Andalucia;11,0;Andalucia, Spain;2,0;8,0;92,0;269,0;2,0;0,0;0,0;0,0;50,0
7;2020-03-15;Andalucia;11,0;Andalucia, Spain;6,0;8,0;92,0;437,0;4,0;0,0;0,0;0,0;168,0
8;2020-03-16;Andalucia;11,0;Andalucia, Spain;7,0;11,0;197,0;554,0;1,0;0,0;3,0;105,0;117,0
9;2020-03-17;Andalucia;11,0;Andalucia, Spain;11,0;13,0;229,0;683,0;4,0;0,0;2,0;32,0;129,0
10;2020-03-18;Andalucia;33,0;Andalucia, Spain;19,0;21,0;319,0;859,0;8,0;22,0;8,0;90,0;176,0
11;2020-03-19;Andalucia;33,0;Andalucia, Spain;23,0;25,0;384,0;1008,0;4,0;0,0;4,0;65,0;149,0
12;2020-03-20;Andalucia;36,0;Andalucia, Spain;30,0;38,0;501,0;1287,0;7,0;3,0;13,0;117,0;279,0
13;2020-03-21;Andalucia;36,0;Andalucia, Spain;40,0;53,0;605,0;1515,0;10,0;0,0;15,0;104,0;228,0
14;2020-03-22;Andalucia;38,0;Andalucia, Spain;47,0;55,0;724,0;1725,0;7,0;2,0;2,0;119,0;210,0
15;2020-03-23;Andalucia;50,0;Andalucia, Spain;58,0;77,0;865,0;1961,0;11,0;12,0;22,0;141,0;236,0
16;2020-03-24;Andalucia;66,0;Andalucia, Spain;87,0;102,0;1132,0;2470,0;29,0;16,0;25,0;267,0;509,0
17;2020-03-25;Andalucia;71,0;Andalucia, Spain;113,0;116,0;1433,0;3008,0;26,0;5,0;14,0;301,0;538,0
18;2020-03-26;Andalucia;77,0;Andalucia, Spain;134,0;134,0;1626,0;3404,0;21,0;6,0;18,0;193,0;396,0
19;2020-03-27;Andalucia;92,0;Andalucia, Spain;144,0;148,0;1843,0;3790,0;10,0;15,0;14,0;217,0;386,0
20;2020-03-28;Andalucia;139,0;Andalucia, Spain;175,0;172,0;2106,0;4271,0;31,0;47,0;24,0;263,0;481,0
21;2020-03-29;Andalucia;148,0;Andalucia, Spain;207,0;201,0;2294,0;4676,0;32,0;9,0;29,0;188,0;405,0
22;2020-03-30;Andalucia;155,0;Andalucia, Spain;236,0;216,0;2671,0;5398,0;29,0;7,0;15,0;377,0;722,0
23;2020-03-31;Andalucia;160,0;Andalucia, Spain;248,0;235,0;2867,0;5809,0;12,0;5,0;19,0;196,0;411,0
