;fecha;total_altas;total_fallecidos;total_uci;total_hospitalizados;total_casos;total_fallecidos_diff;total_altas_diff;total_uci_diff;total_hospitalizados_diff;total_casos_diff;DiasDesde;DiasDesdeInt;total_casos_diff_sma_span_3;total_casos_diff_sma_span_5;total_casos_diff_sma_span_7;total_casos_diff_sma_span_11;total_casos_diff_sma_span_7_weights1;total_casos_diff_sma_span_7_weights2;total_casos_diff_sma_span_7_weights3;total_casos_diff_sma_span_7_weights4;total_casos_diff_sma_span_7_weights1_centered;total_casos_diff_sma_span_7_weights2_centered;total_casos_diff_sma_span_7_weights3_centered;total_casos_diff_sma_span_7_weights4_centered;total_casos_diff_sma_span_7_triang;total_casos_diff_sma_span_7_blackman;total_casos_diff_sma_span_7_hamming;total_casos_diff_sma_span_7_parzen;total_casos_diff_sma_span_7_gaussian;total_casos_diff_sma_span_7_kaiser;total_casos_diff_ewm_com_low;total_casos_diff_ewm_com_med;total_casos_diff_ewm_com_high;total_casos_diff_ewm_com_high_extra;total_casos_diff_manualMovingAverage;total_casos_diff_autoRegression;total_casos_diff_ARMovAverage;total_casos_diff_ExponentialSmoothing
0;2020-02-21;0,0;0,0;0,0;26,0;3,0;0,0;0,0;0,0;26,0;3,0;0 days 00:00:00.000000000;0;;;;;;;;;;;;;;;;;;;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0
1;2020-02-22;0,0;0,0;1,0;30,0;3,0;0,0;0,0;1,0;4,0;0,0;1 days 00:00:00.000000000;1;;;;;;;;;;;;;;;;;;;1,0;2,0;2,5;2,727272727272727;0,0;0,0;0,0;0,0
2;2020-02-23;0,0;0,0;1,0;33,0;3,0;0,0;0,0;0,0;3,0;0,0;2 days 00:00:00.000000000;2;1,0;;;;;;;;;;;;;;;;;;0,33333333333333337;1,3333333333333335;2,0833333333333335;2,4793388429752063;0,0;0,0;0,0;0,0
3;2020-02-24;0,0;0,0;2,0;38,0;3,0;0,0;0,0;1,0;5,0;0,0;3 days 00:00:00.000000000;3;0,0;;;;;;;;3,5714285714285716;1,5714285714285714;3,5483870967741935;1,36;;;;;;;0,11111111111111113;0,8888888888888891;1,7361111111111114;2,253944402704733;0,0;0,0;0,0;0,0
4;2020-02-25;0,0;0,0;2,0;49,0;4,0;0,0;0,0;0,0;11,0;1,0;4 days 00:00:00.000000000;4;0,3333333333333333;0,8;;;;;;;7,428571428571429;2,0;5,967741935483871;3,16;;;;;;;0,7037037037037037;0,925925925925926;1,6134259259259263;2,1399494570043025;1,0;1,0;1,0;1,0
5;2020-02-26;0,0;0,0;2,0;58,0;10,0;0,0;0,0;0,0;9,0;6,0;5 days 00:00:00.000000000;5;2,3333333333333335;1,4;;;;;;;11,0;3,857142857142857;8,258064516129032;6,4;;;;;;;4,234567901234568;2,617283950617284;2,344521604938272;2,4908631427311843;6,0;6,0;6,0;6,0
6;2020-02-27;0,0;0,0;3,0;63,0;18,0;0,0;0,0;1,0;5,0;8,0;6 days 00:00:00.000000000;6;5,0;3,0;2,5714285714285716;;3,5714285714285716;1,5714285714285714;3,5483870967741935;1,36;18,142857142857142;7,0;13,935483870967742;10,88;1,625;0,55952380952381;1,0572289156626513;0,6315205327413986;2,5714279888964886;0,8056578332302016;6,744855967078189;4,411522633744856;3,2871013374485605;2,9916937661192584;8,0;8,0;8,0;8,0
7;2020-02-28;0,0;0,0;3,0;73,0;36,0;0,0;0,0;0,0;10,0;18,0;7 days 00:00:00.000000000;7;10,666666666666666;6,6;4,714285714285714;;7,428571428571429;2,0;5,967741935483871;3,16;28,75;12,107142857142858;22,612903225806452;17,72;3,5;2,30952380952381;2,8734939759036147;2,3851276359600444;4,714284952513006;2,5621026872637294;14,248285322359397;8,941015089163237;5,739251114540467;4,356085241926599;18,0;18,0;18,0;18,0
8;2020-02-29;0,0;0,0;3,0;78,0;55,0;0,0;0,0;0,0;5,0;19,0;8 days 00:00:00.000000000;8;15,0;10,4;7,428571428571429;;11,0;3,857142857142857;8,258064516129032;6,4;37,892857142857146;18,964285714285715;30,225806451612904;26,2;6,625;5,55952380952381;6,033132530120482;5,632630410654828;7,428570935659652;5,810281254841287;17,41609510745313;12,294010059442158;7,949375928783724;5,687350219933272;19,0;19,0;19,0;19,0
9;2020-03-01;0,0;0,0;4,0;85,0;83,0;0,0;0,0;1,0;7,0;36,0;9 days 00:00:00.000000000;9;24,333333333333332;17,4;12,571428571428571;;18,142857142857142;7,0;13,935483870967742;10,88;49,285714285714285;27,0;38,935483870967744;37,16;11,25;10,206349206349206;10,710843373493978;10,264150943396228;12,571427720035569;10,388395403178054;29,80536503581771;20,196006706294774;12,624479940653103;8,443045654484793;36,0;36,0;36,0;36,0
