;fecha;total_hospitalizados;Localizacion;Provincia
0;2020-02-21;;Andalucia, Spain;Andalucia
1;2020-02-22;;Andalucia, Spain;Andalucia
2;2020-02-23;;Andalucia, Spain;Andalucia
3;2020-02-24;;Andalucia, Spain;Andalucia
4;2020-02-25;;Andalucia, Spain;Andalucia
5;2020-02-26;;Andalucia, Spain;Andalucia
6;2020-02-27;;Andalucia, Spain;Andalucia
7;2020-02-28;;Andalucia, Spain;Andalucia
8;2020-02-29;;Andalucia, Spain;Andalucia
9;2020-03-01;;Andalucia, Spain;Andalucia
10;2020-03-02;;Andalucia, Spain;Andalucia
11;2020-03-03;;Andalucia, Spain;Andalucia
12;2020-03-04;;Andalucia, Spain;Andalucia
13;2020-03-05;;Andalucia, Spain;Andalucia
14;2020-03-06;;Andalucia, Spain;Andalucia
15;2020-03-07;;Andalucia, Spain;Andalucia
16;2020-03-08;;Andalucia, Spain;Andalucia
17;2020-03-09;;Andalucia, Spain;Andalucia
18;2020-03-10;;Andalucia, Spain;Andalucia
19;2020-03-11;32,0;Andalucia, Spain;Andalucia
20;2020-03-12;50,0;Andalucia, Spain;Andalucia
21;2020-03-13;92,0;Andalucia, Spain;Andalucia
22;2020-03-14;92,0;Andalucia, Spain;Andalucia
23;2020-03-15;92,0;Andalucia, Spain;Andalucia
24;2020-03-16;197,0;Andalucia, Spain;Andalucia
25;2020-03-17;229,0;Andalucia, Spain;Andalucia
26;2020-03-18;319,0;Andalucia, Spain;Andalucia
27;2020-03-19;384,0;Andalucia, Spain;Andalucia
28;2020-03-20;501,0;Andalucia, Spain;Andalucia
29;2020-03-21;605,0;Andalucia, Spain;Andalucia
30;2020-03-22;724,0;Andalucia, Spain;Andalucia
31;2020-03-23;865,0;Andalucia, Spain;Andalucia
32;2020-03-24;1132,0;Andalucia, Spain;Andalucia
33;2020-03-25;1433,0;Andalucia, Spain;Andalucia
34;2020-03-26;1626,0;Andalucia, Spain;Andalucia
35;2020-03-27;1843,0;Andalucia, Spain;Andalucia
36;2020-03-28;2106,0;Andalucia, Spain;Andalucia
37;2020-03-29;2294,0;Andalucia, Spain;Andalucia
38;2020-03-30;2671,0;Andalucia, Spain;Andalucia
39;2020-03-31;2867,0;Andalucia, Spain;Andalucia
40;2020-04-01;3147,0;Andalucia, Spain;Andalucia
41;2020-04-02;3444,0;Andalucia, Spain;Andalucia
42;2020-04-03;3673,0;Andalucia, Spain;Andalucia
