;Defunciones Esperadas;Defunciones Observadas;Diferencia Muertes;Desde;Hasta;CCAA
0;32790,0;34056;1266,0;2020-01-01;2020-12-05;Andalucia
1;5222,0;5941;719,0;2020-01-01;2020-12-05;Aragon
2;6081,0;6373;292,0;2020-01-01;2020-12-05;Asturias
3;3707,0;3720;13,0;2020-01-01;2020-12-05;Baleares
4;7247,0;7533;286,0;2020-01-01;2020-12-05;Canarias
5;2171,0;2310;139,0;2020-01-01;2020-12-05;Cantabria
6;8718,0;13721;5003,0;2020-01-01;2020-12-05;Castilla La Mancha
7;10546,0;13764;3218,0;2020-01-01;2020-12-05;Castilla y Leon
8;30458,0;40967;10509,0;2020-01-01;2020-12-05;Cataluña
9;170,0;283;113,0;2020-01-01;2020-12-05;Ceuta
10;20773,0;21723;950,0;2020-01-01;2020-12-05;Valencia
11;183949,0;224882;40933,0;2020-01-01;2020-12-05;España
12;4798,0;5509;711,0;2020-01-01;2020-12-05;Extremadura
13;14316,0;14933;617,0;2020-01-01;2020-12-05;Galicia
14;19035,0;32635;13600,0;2020-01-01;2020-12-05;Madrid
15;182,0;235;53,0;2020-01-01;2020-12-05;Melilla
16;5159,0;5301;142,0;2020-01-01;2020-12-05;Murcia
17;2671,0;3224;553,0;2020-01-01;2020-12-05;Navarra
18;9772,0;11203;1431,0;2020-01-01;2020-12-05;País Vasco
19;1178,0;1371;193,0;2020-01-01;2020-12-05;La Rioja
